15:59:31  [main] 	Initializing Control Panel
15:59:31  [main] 	Windows Version:  Home  64-bit
15:59:31  [main] 	XAMPP Version: ???
15:59:31  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
15:59:31  [main] 	You are not running with administrator rights! This will work for
15:59:31  [main] 	most application stuff but whenever you do something with services
15:59:31  [main] 	there will be a security dialogue or things will break! So think 
15:59:31  [main] 	about running this application with administrator rights!
15:59:31  [main] 	XAMPP Installation Directory: "c:\tops _\xamp\"
15:59:31  [main] 	WARNING: Your install directory contains spaces.  This may break programs/scripts
15:59:31  [main] 	Checking for prerequisites
15:59:32  [main] 	All prerequisites found
15:59:32  [main] 	Initializing Modules
15:59:32  [Apache] 	Problem detected: Apache Not Found!
15:59:32  [Apache] 	Disabling Apache buttons
15:59:32  [Apache] 	Run this program from your XAMPP root directory!
15:59:32  [mysql] 	Problem detected: MySQL Not Found!
15:59:32  [mysql] 	Disabling MySQL buttons
15:59:32  [mysql] 	Run this program from your XAMPP root directory!
15:59:32  [filezilla] 	Problem detected: FileZilla Not Found!
15:59:32  [filezilla] 	Disabling FileZilla buttons
15:59:32  [filezilla] 	Run this program from your XAMPP root directory!
15:59:32  [mercury] 	Problem detected: Mercury Not Found!
15:59:32  [mercury] 	Disabling Mercury buttons
15:59:32  [mercury] 	Run this program from your XAMPP root directory!
15:59:32  [Tomcat] 	Problem detected: Tomcat Not Found!
15:59:32  [Tomcat] 	Disabling Tomcat buttons
15:59:32  [Tomcat] 	Run this program from your XAMPP root directory!
15:59:32  [Tomcat] 	Problem detected: Required Tool catalina_start.bat Not Found!
15:59:32  [Tomcat] 	Problem detected: Required Tool catalina_stop.bat Not Found!
15:59:32  [Tomcat] 	Problem detected: Required Tool catalina_service.bat Not Found!
15:59:32  [main] 	Starting Check-Timer
15:59:32  [main] 	Control Panel Ready
16:06:42  [main] 	Deinitializing Modules
16:06:42  [main] 	Deinitializing Control Panel

